Date,Headline,URL
1/28/86,24-HOUR DELAY CALLED FOR SHUTTLE FLIGHT AS WIND AND BALKY BOLT BAR LAUNCHING,https://www.nytimes.com/1986/01/28/science/24-hour-delay-called-for-shuttle-flight-as-wind-and-balky-bolt-bar-launching.html
1/27/86,SHUTTLE LAUNCHING DELAYED AGAIN OVER WEATHER FEARS,https://www.nytimes.com/1986/01/27/us/shuttle-launching-delayed-again-over-weather-fears.html
1/26/86,CLOUDY FORECAST DELAYS TEACHER'S SPACE FLIGHT,https://www.nytimes.com/1986/01/26/us/cloudy-forecast-delays-teacher-s-space-flight.html
1/24/86,ASTRONAUTS ON HARD-LUCK FLIGHT FAILED TO GET A GLIMPSE OF COMET,https://www.nytimes.com/1986/01/24/us/astronauts-on-hard-luck-flight-failed-to-get-a-glimpse-of-comet.html
1/21/86,Crews Race to Repair Shuttle For Halley Mission March 6,https://www.nytimes.com/1986/01/21/science/crews-race-to-repair-shuttle-for-halley-mission-march-6.html
1/19/86,"SPACE SHUTTLE, DETOURED TO CALIFORNIA BY WEATHER, LANDS SAFELY UNDER FOODLIGHTS",https://www.nytimes.com/1986/01/19/us/space-shuttle-detoured-to-california-by-weather-lands-safely-under-foodlights.html
1/13/86,ASTRONAUTS LAUNCH RCA SATELLITE,https://www.nytimes.com/1986/01/13/us/shuttle-in-space-after-7-delays-astronauts-launch-rca-satellite.html
1/11/86,"SPACE SHUTTLE LIFT OFF DELAYED FOR 7TH TIME, SETTING RECORD",https://www.nytimes.com/1986/01/11/us/space-shuttle-lift-off-delayed-for-7th-time-setting-record.html
1/9/86,VALVE PROBLEM PUTS OFF SHUTTLE'S LAUNCHING ONE MORE TIME,https://www.nytimes.com/1986/01/09/us/valve-problem-puts-off-shuttle-s-launching-one-more-time.html
1/9/86,AT KENNEDY SPACE CENTER,https://www.nytimes.com/1986/01/09/us/at-kennedy-space-center.html
